step,loss
20,2.3888
40,2.5748
60,2.5014
80,2.3082
100,2.2712
120,2.0189
140,2.415
160,2.3549
180,2.1585
200,2.3578
220,2.1529
240,2.2245
260,2.0576
280,2.123
300,2.1588
320,2.0487
340,2.1704
360,2.0694
380,2.0331
400,2.3127
420,1.9443
440,2.0741
460,2.0167
480,1.963
500,1.9657
520,2.1066
540,1.9584
560,2.1153
580,2.0255
600,2.0157
620,2.1673
640,2.0306
660,2.1062
680,2.2241
700,1.9956
720,2.1788
740,2.0588
760,1.9864
780,1.9128
800,2.0
820,1.97
840,2.1881
860,2.0292
880,2.1069
900,1.8907
920,2.1717
940,2.0076
960,2.0838
980,2.0928
1000,2.1104
1020,2.0168
1040,1.9126
1060,1.9457
1080,2.1087
1100,2.0686
1120,2.236
1140,1.9229
1160,1.976
1180,2.0493
1200,2.082
1220,2.1366
1240,1.9791
1260,2.0163
1280,2.0264
1300,1.9614
1320,1.8804
1340,1.9677
1360,2.0858
1380,1.794
1400,2.0186
1420,2.2919
1440,1.9719
1460,2.0393
1480,2.152
1500,1.8105
1520,1.692
1540,1.898
1560,2.1095
1580,1.9174
1600,2.0766
1620,1.8357
1640,2.1087
1660,1.9778
1680,1.8644
1700,2.1115
1720,1.7484
1740,2.1736
1760,1.9476
1780,1.9154
1800,2.09
1820,1.9315
1840,2.0067
1860,1.8349
1880,2.0558
1900,2.0537
1920,2.0881
1940,2.0246
1960,2.0677
1980,1.9975
2000,1.8314
2020,1.9323
2040,1.7775
2060,1.8468
2080,1.8516
2100,1.8126
2120,1.9819
2140,1.9844
2160,1.9755
2180,1.8164
2200,1.7489
2220,1.8373
2240,1.7803
2260,1.8936
2280,2.0126
2300,2.0147
2320,1.8858
2340,1.897
2360,2.1036
2380,2.0726
2400,1.975
2420,1.9437
2440,1.9195
2460,1.8002
2480,2.1239
2500,1.9381
2520,2.0852
2540,1.9763
2560,1.9406
2580,1.9399
2600,1.9506
2620,1.9977
2640,1.9491
2660,1.9446
2680,1.8764
2700,2.0111
2720,1.8857
2740,1.5827
2760,2.0845
2780,1.7851
2800,1.7131
2820,1.8601
2840,1.9356
2860,1.9276
2880,1.85
2900,1.9769
2920,1.8229
2940,1.8035
2960,1.7827
2980,2.135
3000,1.9545
3020,1.9144
3040,1.9321
3060,1.9066
3080,1.8652
3100,1.7316
3120,1.8808
3140,1.7677
3160,1.9106
3180,2.0769
3200,1.8469
3220,1.9757
3240,2.014
3260,1.841
3280,1.8153
3300,1.9668
3320,1.8947
3340,1.8825
3360,1.9383
3380,1.8075
3400,1.7919
3420,1.886
3440,2.0788
3460,1.5934
3480,2.0509
3500,1.7919
3520,2.0795
3540,1.7615
3560,1.8527
3580,1.7937
3600,1.7927
3620,1.9675
3640,1.8991
3660,1.9119
3680,1.757
3700,1.8782
3720,1.7762
3740,1.7908
3760,1.8014
3780,1.734
3800,1.9576
3820,2.0215
3840,2.0514
3860,1.9187
3880,1.8073
3900,1.9339
3920,2.0551
3940,1.7365
3960,1.8249
3980,2.0556
4000,1.8859
4020,1.8581
4040,1.8267
4060,1.8952
4080,1.8072
4100,1.8647
4120,1.9805
4140,1.9589
4160,1.745
4180,1.7544
4200,1.9076
4220,1.9633
4240,1.8656
4260,1.8491
4280,1.7627
4300,1.8413
4320,1.9766
4340,1.9047
4360,2.0316
4380,1.7044
4400,1.7322
4420,1.965
4440,1.9487
4460,1.8392
4480,2.0015
4500,1.9259
4520,1.8927
4540,1.7594
4560,1.854
4580,1.7514
4600,2.0041
4620,2.0171
4640,1.9432
4660,2.0246
4680,2.0588
4700,2.0144
4720,1.7383
4740,1.7933
4760,1.8117
4780,1.6393
4800,1.8049
4820,1.809
4840,1.9019
4860,1.9447
4880,1.8527
4900,1.9612
4920,1.8722
4940,1.9292
4960,1.9012
4980,1.9508
5000,1.8877
5020,1.9436
5040,1.9642
5060,1.7867
5080,1.9583
5100,1.8357
5120,1.9297
5140,1.8984
5160,1.8333
5180,1.7829
5200,1.7992
5220,1.9217
5240,1.8581
5260,1.8046
5280,1.6645
5300,1.8795
5320,1.7282
5340,1.6531
5360,1.8375
5380,1.8919
5400,1.8213
5420,1.8415
5440,1.9234
5460,1.6919
5480,1.9247
5500,1.8491
5520,1.9055
5540,2.0332
5560,1.8062
5580,1.9876
5600,1.9502
5620,1.9073
5640,1.7945
5660,1.9504
5680,1.6092
5700,1.9135
5720,1.7043
5740,1.9267
5760,1.6886
5780,1.7961
5800,1.8645
5820,1.9237
5840,1.8389
5860,1.9295
5880,1.8367
5900,1.9339
5920,1.956
5940,1.951
5960,1.9621
5980,1.7876
6000,1.8317
6020,1.7267
6040,1.9708
6060,1.7155
6080,1.8219
6100,1.7912
6120,1.7826
6140,1.9143
6160,1.8248
6180,1.9085
6200,1.785
6220,1.9543
6240,1.8074
6260,1.9448
6280,1.8366
6300,1.864
6320,1.7191
6340,1.7636
6360,1.9097
6380,1.727
6400,1.8989
6420,2.0674
6440,1.9554
6460,1.8902
6480,1.6461
6500,1.8369
6520,1.9439
6540,1.7807
6560,1.9049
6580,1.9175
6600,1.9803
6620,1.8848
6640,1.713
6660,1.8726
6680,1.8069
6700,2.0298
6720,1.8337
6740,1.8894
6760,1.642
6780,1.6766
6800,1.9881
6820,1.87
6840,1.9791
6860,1.9065
6880,1.8943
6900,1.9398
6920,1.8361
6940,1.9154
6960,1.8225
6980,1.7972
7000,1.8603
7020,1.864
7040,1.7535
7060,1.871
7080,1.7532
7100,1.9046
7120,1.9451
7140,1.7787
7160,2.0163
7180,1.9678
7200,1.6885
7220,1.8453
7240,1.795
7260,1.8957
7280,1.872
7300,1.8781
7320,1.8873
7340,1.8298
7360,1.9889
7380,1.8952
7400,1.9253
7420,1.8198
7440,1.7273
7460,1.8992
7480,1.8276
7500,1.6774
7520,1.8334
7540,1.7113
7560,1.854
7580,1.7327
7600,1.9473
7620,1.8073
7640,1.8605
7660,1.7337
7680,1.8506
7700,1.9005
7720,1.7175
7740,1.9487
7760,1.745
7780,1.9347
7800,1.8797
7820,1.7411
7840,1.8368
7860,1.9753
7880,1.9962
7900,1.8378
7920,1.9878
7940,1.7641
7960,1.8099
7980,1.7921
8000,1.7965
8020,1.8704
8040,1.7252
8060,1.7774
8080,1.709
8100,1.6668
8120,1.8198
8140,1.7486
8160,1.7941
8180,1.828
8200,1.721
8220,1.7696
8240,1.9267
8260,1.8286
8280,1.9071
8300,1.5077
8320,1.9057
8340,2.0363
8360,1.7993
8380,1.722
8400,1.8648
8420,1.8901
8440,1.8673
8460,1.9024
8480,1.6645
8500,1.9016
8520,1.8119
8540,1.6808
8560,1.8749
8580,1.7643
8600,1.9369
8620,1.7589
